Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
11/11/2016,0.125956896,0.037741404,0.03803132,0.053601586,2.15,91.21,76.25,53.12,43.49
18/11/2016,-0.040897443,0.016170213,0.008032915,0.00111506,2.34,83.39,79.1,54.35,43.65
25/11/2016,-0.000163586,0.01451703,0.014447684,0.015036547,2.36,83.36,81.7,56.58,45.81
2/12/2016,-0.01783377,-0.026527243,-0.009707498,0.000960154,2.4,80.09,76.88,55.06,45.95
9/12/2016,0.035482259,0.035900045,0.030826777,0.03055841,2.47,86.48,83.23,59.84,50.41
16/12/2016,0.011100386,-0.001309829,-0.000625626,0.004388006,2.6,88.55,82.99,59.74,51.07
23/12/2016,0.001909308,0.00469971,0.002566671,0.004567419,2.55,88.91,83.85,60.15,51.76
30/12/2016,0.004499497,-0.014577101,-0.011052139,-0.008566157,2.45,89.76,81.17,58.38,50.46
6/1/2017,0.018655143,0.025611304,0.017047607,0.010168816,2.42,93.3,85.81,61.08,51.99
13/1/2017,-0.028194516,0.009633497,-0.001055376,-0.003947628,2.4,87.85,87.6,60.91,51.39
20/1/2017,-0.013574661,-0.003411514,-0.00142937,-0.002906401,2.48,85.3,86.96,60.68,50.95
27/1/2017,-0.018780356,0.018988019,0.010268857,0.013448162,2.49,81.82,90.51,62.33,52.98
3/2/2017,0.011164888,0.001049814,0.001170455,-0.001111256,2.49,83.85,90.71,62.52,52.81
10/2/2017,-0.004133805,0.011902889,0.008183608,0.009881552,2.41,83.09,92.98,63.85,54.32
17/2/2017,0.022338741,0.018240232,0.015135795,0.017496112,2.42,87.18,96.5,66.33,57.02
24/2/2017,0.005182178,0.001119593,0.006853845,0.009552923,2.31,88.15,96.72,67.47,58.52
3/3/2017,0.020143503,0.004371696,0.006687765,0.008831693,2.49,91.94,97.58,68.59,59.92
10/3/2017,0.040116703,-0.001518372,-0.004448662,-0.004877439,2.58,99.64,97.28,67.84,59.14
17/3/2017,-0.002905229,0.006690998,0.002383222,0.00056554,2.5,99.06,98.6,68.24,59.23
24/3/2017,-0.001054958,-0.01223565,-0.014384213,-0.015198141,2.4,98.85,96.17,65.82,56.81
31/3/2017,-0.007040483,0.014222358,0.007960439,0.003188572,2.4,97.45,98.96,67.14,57.31
7/4/2017,0.005874905,-0.005729795,-0.002991504,-0.000317844,2.38,98.61,97.82,66.64,57.26
14/4/2017,-0.021549771,-0.012384996,-0.011281805,-0.0097927,2.24,94.33,95.37,64.76,55.72
21/4/2017,-0.004837133,0.018170651,0.008436514,0.004559466,2.24,93.39,98.92,66.15,56.43
28/4/2017,0.033248875,0.023175146,0.015106831,0.019177907,2.29,99.82,103.53,68.66,59.43
5/5/2017,0.015914323,0.008794772,0.006344124,0.003136173,2.36,103,105.32,69.73,59.93
12/5/2017,-0.013891626,0.003360608,-0.003476109,-0.005252298,2.33,100.18,106.01,69.14,59.09
19/5/2017,-0.007243481,-0.006116208,-0.00384297,-0.004400025,2.23,98.73,104.75,68.49,58.39
26/5/2017,0.007296332,0.020757021,0.014303519,0.013258413,2.25,100.18,109,70.9,60.49
2/6/2017,0.01803377,0.015406699,0.009654769,0.005981681,2.15,103.79,112.22,72.55,61.45
9/6/2017,0.035968399,-0.01550278,-0.003013619,0.003096934,2.21,111.12,108.93,72.03,61.95
16/6/2017,0.019799166,-0.009046092,0.000581294,0.005248533,2.16,115.3,107.04,72.13,62.8
23/6/2017,0.022387366,0.018450541,0.002091443,0.0004914,2.15,120.12,110.86,72.49,62.88
30/6/2017,-0.001771761,-0.019918429,-0.006087309,-0.002087426,2.31,119.73,106.66,71.44,62.54
7/7/2017,-0.006644518,0.002032324,0.000699953,0.003014643,2.39,118.27,107.08,71.56,63.03
14/7/2017,0.01502726,0.025932007,0.014047564,0.010427529,2.33,121.55,112.45,73.97,64.73
21/7/2017,0.020762807,0.011908684,0.00540323,-0.002671037,2.24,126.15,114.98,74.91,64.29
28/7/2017,-0.056157418,-0.002046702,-0.000171517,0.011625784,2.3,113.45,114.54,74.88,66.2
4/8/2017,0.007823846,-0.003635686,0.00194419,0.012033694,2.27,115.12,113.76,75.22,68.2
11/8/2017,-0.005066939,-0.01497006,-0.01438192,-0.010642093,2.19,114.03,110.56,72.7,66.41
18/8/2017,-0.009484652,-0.006363982,-0.006427331,-0.008412956,2.19,112,109.22,71.59,65.01
25/8/2017,0.036037736,0.007886435,0.007226528,0.006423853,2.17,119.64,110.87,72.83,66.07
1/9/2017,0.040566381,0.027078295,0.013712897,0.008008671,2.16,128.55,116.58,75.2,67.4
8/9/2017,0.13152483,-0.011681596,-0.006107306,-0.008661888,2.06,158.61,114.05,74.13,65.95
